"participant","tto","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Q21","Q22","Q23","Q24","Q25","Q26","Q27","Q28","Q29","Q30","Q31","Q32","Q33","Q34"
1,0,4,4,4,4,4,4,3,4,3,4,4,3,5,3,3,3,4,3,3,3,4,4,4,3,3,3,4,4,3,4,5,4,4,4
2,0,3,3,3,2,3,3,4,3,2,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,4,4,3,4,3,5,3,4
3,0,4,4,5,3,4,4,5,3,4,3,3,3,4,5,3,4,3,4,4,4,3,3,4,4,4,3,3,4,3,2,3,3,5,5
4,0,4,4,3,3,3,4,4,4,4,2,4,5,5,5,5,5,5,4,5,4,5,5,5,5,5,3,3,4,4,4,3,5,3,4
5,0,3,4,4,3,3,3,4,3,4,3,3,3,4,4,3,4,4,3,4,3,4,4,3,3,5,3,4,3,4,3,2,3,3,4
6,0,2,1,1,3,2,2,1,1,2,1,2,3,3,2,4,4,4,2,4,3,3,4,4,5,5,4,4,3,4,5,4,4,4,5
7,0,2,4,3,2,3,4,2,3,3,3,3,4,3,3,3,4,4,3,3,4,4,3,2,3,2,4,4,4,4,4,4,5,4,2
8,0,4,2,3,3,4,3,4,4,3,4,3,2,2,2,2,1,2,2,1,1,2,1,2,2,1,3,4,3,3,4,5,5,4,4
9,0,4,4,4,4,3,4,4,4,3,4,3,3,3,1,4,2,2,2,4,2,2,3,3,2,2,3,3,4,4,4,4,5,4,3
10,0,3,4,4,3,2,2,3,4,2,3,3,4,4,3,4,5,3,3,3,3,4,5,4,3,3,4,4,4,3,4,4,4,4,3
11,0,4,3,4,3,3,3,4,3,3,4,4,4,4,3,3,3,3,2,3,4,3,3,3,3,4,3,3,3,4,3,4,2,3,3
12,0,2,2,4,2,3,4,3,3,3,3,4,4,4,4,5,5,5,4,5,5,5,5,5,5,5,4,4,3,3,3,3,3,4,5
13,0,4,3,5,4,3,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4,4,3,3,5,3,2,3,3,3,3,4,4,3,3
14,0,3,4,3,3,3,2,4,4,3,3,3,4,3,3,4,5,4,4,4,3,4,3,2,3,3,4,5,5,4,4,5,5,5,5
15,0,1,2,1,2,1,2,1,2,2,2,3,4,5,5,4,5,5,4,5,5,5,5,5,4,4,4,4,3,3,3,4,4,4,3
16,0,4,5,4,4,5,4,4,5,4,4,4,3,3,4,3,3,3,2,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4,5
17,0,4,4,3,5,3,4,3,4,4,4,5,5,4,4,3,4,3,4,4,4,3,5,4,5,4,2,3,3,3,3,2,3,3,2
18,0,4,4,3,4,2,4,4,4,4,4,3,4,4,4,5,2,4,4,3,4,4,4,5,4,4,3,3,4,4,3,4,4,3,4
19,0,2,3,4,3,2,4,3,4,3,2,4,3,3,4,4,4,4,2,4,3,4,4,5,4,4,4,4,4,3,4,4,4,4,4
20,0,5,4,4,5,5,4,4,4,4,4,3,2,3,4,4,4,3,3,4,4,4,3,4,4,3,4,4,4,4,3,4,4,4,4
21,0,5,3,3,3,4,4,4,4,3,3,3,3,4,3,3,5,3,3,4,4,3,3,4,4,3,3,4,4,4,4,4,4,2,3
22,0,2,4,4,3,3,2,3,4,4,4,4,3,3,3,4,4,4,4,2,3,4,4,3,3,3,3,4,3,3,3,3,3,3,3
23,0,3,3,3,3,3,3,2,4,2,3,2,5,5,5,5,5,4,5,4,5,5,4,5,5,4,4,4,2,4,4,3,3,4,3
24,0,4,4,4,4,5,3,5,5,3,5,4,3,3,3,4,4,3,4,4,4,4,4,3,2,5,5,3,4,4,4,4,5,4,4
25,0,4,3,4,3,4,3,3,4,3,3,3,3,3,2,4,2,4,4,4,2,3,3,3,4,3,3,3,3,3,3,3,2,3,3
26,0,4,5,5,5,5,5,5,5,5,5,5,3,3,4,4,3,3,4,3,4,2,4,3,4,3,4,4,3,4,3,3,4,4,3
27,0,5,4,5,4,5,5,5,5,5,5,4,3,2,3,3,3,2,3,2,3,4,2,3,3,3,3,3,4,3,2,2,3,3,2
28,0,3,3,3,4,4,4,4,4,3,5,4,4,4,4,4,4,3,4,3,4,5,5,4,4,4,4,4,4,4,4,2,3,3,2
29,0,4,4,4,3,3,4,5,4,4,4,5,3,4,4,4,4,5,3,4,3,4,3,4,3,3,3,3,3,3,2,3,4,2,3
30,0,4,4,3,4,5,4,4,5,5,5,4,4,5,4,4,4,5,4,3,5,5,4,5,4,4,3,4,4,4,3,3,3,3,3
31,1,3,3,3,3,3,3,3,3,3,4,2,4.3,4.3,3.3,3.3,4,4,4,4,4,4,4,4,3,3,5,4,4,5,4,5,5,4,4
32,1,4,3,4,5,4,3,4,4,4,3,2,2.3,2.3,2.3,1.3,2,1,1,2,2,1,2,1,1,1,5,4,4,4,5,4,5,5,5
33,1,3,3,5,4,3,5,3,5,3,4,4,4.3,4.3,3.3,4.3,2,2,4,3,3,4,4,3,3,3,4,4,4,4,4,4,3,4,4
34,1,4,3,4,4,4,4,3,4,4,4,3,4.3,NA,NA,NA,5,4,5,5,5,5,5,5,5,5,4,2,4,5,4,4,4,4,3
35,1,3,4,4,2,4,4,4,3,4,4,4,4.3,NA,4.3,3.3,4,3,3,5,4,4,4,5,5,4,3,4,3,4,5,3,3,3,3
36,1,5,4,5,4,4,3,4,5,4,3,4,4.3,4.3,4.3,3.3,2,3,4,3,4,4,3,3,4,3,5,5,5,5,5,5,5,5,4
37,1,4,4,4,5,4,4,3,4,5,3,3,3.3,NA,4.3,3.3,4,5,5,4,4,5,4,3,4,4,4,3,2,3,3,3,3,3,2
38,1,2,3,3,4,2,4,2,2,3,3,2,4.3,4.3,NA,4.3,5,4,3,4,4,4,4,3,4,4,4,3,4,3,3,3,2,3,3
39,1,5,3,4,3,4,4,4,4,3,4,4,2.3,3.3,4.3,2.3,2,2,2,3,3,3,3,2,4,3,3,4,4,4,4,3,4,4,4
40,1,2,3,3,2,3,3,3,3,2,3,4,3.3,3.3,4.3,3.3,5,3,4,3,4,4,3,3,4,4,3,2,3,3,3,3,3,3,2
